,cr1-cr-other,cr2-cr-other,cr3-cr-other,cr3-i1,cr3-i2,cr3-i3,cr3-i6,cr4-cr-other,cr5-cr-other,cr5-i1,cr5-i4,cr5-i5,cr5-i7,cr5-i9,cr6-i1,"ft1-ft-other::
# of people wanted","ft2-ft-other::
name of team","ft3-ft-other::
team project focus","ft4-ft-other::
team project technology","ft5-i1::
front end wanted","ft5-i2::
back end wanted","ft5-i3::
data scientist wanted","ft5-i4::
designer wanted","ft5-i5::
ios person wanted","ft5-i6::
other roles wanted","ft5-i7::
web dev wanted","ft6-ft-other::
team project experience","ft7-ft-other::
team emails",other interest: ai,other interest: educ,other interest: technolog,other languages: matlab,"q1-i10::
fashion","q1-i11::
sports","q1-i12::
arts","q1-i1::
finance","q1-i2::
politics","q1-i3::
health","q1-i4::
travel","q1-i5::
entertainment","q1-i6::
music","q1-i7::
economics","q1-i8::
social issues","q1-i9::
gaming","q1-other::
other interest","q2-i1::
front end engineer","q2-i2::
back end engineer","q2-i3::
data scientist","q2-i4::
designer","q2-i5::
ios","q2-i6::
andriod","q2-other::
other role","q3-i10::
game dev","q3-i1::
web app dev","q3-i2::
mobile app dev","q3-i3::
data mining","q3-i4::
machine intel","q3-i5::
computer networks","q3-i6::
algorithm design","q3-i7::
vr/ar","q3-i8::
hardware","q3-i9::
IoT","q3-other::
other experience","q4-i10::
scala","q4-i1::
html","q4-i2::
js","q4-i3::
java","q4-i4::
c++","q4-i5::
python","q4-i6::
ruby","q4-i7::
c#","q4-i8::
sql","q4-i9::
swift","q4-other::
other languages","q5-i1::
communication skills","q5-i2::
design skills","q5-i3::
presentation skills","q5-i4::
project management skills","q6-i1::
have fun","q6-i2::
learn tech","q6-i3::
win","q6-i4::
socialize","q7-i1::
great code","q7-i2::
great concept","q7-i3::
great design","q7-i4::
great presentation","team join::
if want to join a team","team::
if have team","teammates::
if looking for teammate",uid
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,Gaming,,,Back-end Engineer,,,,Android,,Some experience,Some experience,Some experience,,Some experience,,Some experience,Some experience,,,,,,,Completed one project/course,,Some experience,,,,,,3,3,3,3,4,5,4,4,3,5,4,3,true,false,,59d03f9ac8bca053d261c47d
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,,,,Back-end Engineer,Data Scientist,Designer,,,,,,,,,,,,,,,,,,Some experience,,Completed multiple projects/courses,,,,,,4,3,4,4,4,5,2,4,2,5,4,,true,false,,59d0484cc8bca053d261c482
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,,,,Completed one project/course,Completed one project/course,,,,Completed one project/course,Some experience,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,,Completed one project/course,,5,2,5,5,5,5,5,5,5,5,5,5,,true,false,59d04c96c8bca053d261c483
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,Music,,Social Issues,Gaming,,,,,,,,Whatever role needs to be filled.,,,,,,,Completed one project/course,,Some experience,,,,,,Completed one project/course,No experience,Completed one project/course,,,,,,3,3,3,3,5,5,3,4,5,4,4,3,true,false,,59d0550ec8bca053d261c487
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Some experience,Some experience,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,Completed multiple projects/courses,,,Completed one project/course,,,3,4,3,3,5,5,2,3,4,5,5,3,true,false,,59d0560fc8bca053d261c488
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,,,,,Some experience,,Completed one project/course,Completed one project/course,,,Some experience,,,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,,Some experience,,,5,4,4,4,5,5,3,3,3,4,5,3,,false,,59d0569ac8bca053d261c489
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,,,Completed multiple projects/courses,,,,,,Some experience,,Some experience,Completed one project/course,Completed multiple projects/courses,,Completed one project/course,Some experience,,,4,3,5,2,5,5,5,5,4,5,3,5,,,,59d0581cc8bca053d261c48b
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,,iOS,,,Some experience,Completed one project/course,,Some experience,,,Some experience,,Some experience,,,,Some experience,Some experience,Completed one project/course,Some experience,Completed one project/course,,,Some experience,,,3,3,,2,4,3,2,2,4,3,4,,,true,false,59d065f6c8bca053d261c490
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,Android,,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,,,Some experience,,,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,Some experience,,,2,4,,4,5,3,,3,4,2,5,,true,false,,59d06f24c8bca053d261c491
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,,,,,,Back-end Engineer,,,,,Hardware,,Some experience,,,,Completed one project/course,,Some experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,Some experience,Some experience,Completed multiple projects/courses,Completed one project/course,,,,,,3,4,5,4,5,3,,4,3,3,5,4,true,false,,59d0f826c8bca053d261c49c
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,,Economics,,Gaming,,Front-end Engineer,,,,,Android,,Some experience,Some experience,Completed multiple projects/courses,,,,Completed multiple projects/courses,,,Completed one project/course,,,Completed one project/course,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,,,4,5,4,4,4,4,5,4,4,5,5,4,,true,false,59d0fb88c8bca053d261c49d
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,,,Some experience,,,4,3,4,4,5,5,3,3,4,4,4,3,true,false,,59d11ba3c8bca053d261c4a9
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,Entertainment,,Economics,Social Issues,,,,Back-end Engineer,Data Scientist,,,,,,,,Some experience,Completed multiple projects/courses,,,,Completed multiple projects/courses,,,,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,,,MATLAB,5,4,4,4,5,5,3,5,4,5,5,3,true,false,,59d11e2dc8bca053d261c4aa
