,cr1-cr-other,uid,"q1-i10::
fashion","q1-i11::
sports","q1-i12::
arts","q1-i1::
finance","q1-i2::
politics","q1-i3::
health","q1-i4::
travel","q1-i5::
entertainment","q1-i6::
music","q1-i7::
economics","q1-i8::
social issues","q1-i9::
gaming","q1-other::
other interest","q2-i1::
front end engineer","q2-i2::
back end engineer","q2-i3::
data scientist","q2-i4::
designer","q2-i5::
ios","q2-i6::
andriod","q2-other::
other role","q3-i10::
game dev","q3-i1::
web app dev","q3-i2::
mobile app dev","q3-i3::
data mining","q3-i4::
machine intel","q3-i5::
computer networks","q3-i6::
algorithm design","q3-i7::
vr/ar","q3-i8::
hardware","q3-i9::
IoT","q3-other::
other experience","q4-i10::
scala","q4-i1::
html","q4-i2::
js","q4-i3::
java","q4-i4::
c++","q4-i5::
python","q4-i6::
ruby","q4-i7::
c#","q4-i8::
sql","q4-i9::
swift","q4-other::
other languages","q5-i1::
communication skills","q5-i2::
design skills","q5-i3::
presentation skills","q5-i4::
project management skills","q6-i1::
have fun","q6-i2::
learn tech","q6-i3::
win","q6-i4::
socialize","q7-i1::
great code","q7-i2::
great concept","q7-i3::
great design","q7-i4::
great presentation","team join::
if want to join a team","team::
if have team","teammates::
if looking for teammate","ft1-ft-other::
# of people wanted","ft2-ft-other::
name of team","ft3-ft-other::
team project focus","ft4-ft-other::
team project technology","ft5-i1::
front end wanted","ft5-i2::
back end wanted","ft5-i4::
designer wanted","ft5-i5::
ios person wanted","ft5-i6::
other roles wanted","ft5-i7::
web dev wanted","ft6-ft-other::
team project experience","ft7-ft-other::
team emails",,,,,,,,,,,,
13,,59cf10f9ca869411de5a762c,,Sports,,,,,,,,Economics,,Gaming,,,Back-end Engineer,Data Scientist,,,Android,,,Some experience,Some experience,Completed one project/course,,Some experience,Completed one project/course,,,,,,,,Completed multiple projects/courses,,Completed multiple projects/courses,,,Completed one project/course,,,4,2,2,4,5,4,2,5,4,5,3,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
14,,59cf14b9ca869411de5a7633,,,,Finance,,Health,,,,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,No experience,Completed multiple projects/courses,,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,No experience,Completed one project/course,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,Completed multiple projects/courses,,,Some experience,,,5,4,3,3,5,5,1,5,5,5,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
15,,59cf1e6eca869411de5a763d,,,,,,Health,Travel,,,,Social Issues,Gaming,Research,,Back-end Engineer,,,,Android,,,No experience,Completed one project/course,No experience,,,Completed one project/course,,Completed multiple projects/courses,No experience,,,,,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,3,3,3,3,5,5,5,5,5,5,5,5,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
16,,59cf45c9ca869411de5a764b,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,,,,Completed multiple projects/courses,,,,,,Some experience,,,,,,,,Completed multiple projects/courses,Some experience,Some experience,,Some experience,,,,4,3,3,3,5,5,2,3,3,4,3,3,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
17,,59cf4709ca869411de5a764c,,,,,,,Travel,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,Android,,,,,,,,Some experience,,Some experience,,,,,,,Completed one project/course,Completed one project/course,,,,,,4,4,4,3,5,5,,5,5,5,5,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
18,,59cfc028ca869411de5a765d,,,Arts,Finance,,Health,Travel,Entertainment,Music,Economics,Social Issues,,,Front-end Engineer,,,,,,,,Completed one project/course,,,,,,,,,,,Completed one project/course,,,,,,,,,,3,2,2,4,5,5,3,5,4,4,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
19,,59cfd239ca869411de5a7664,Fashion,Sports,Arts,,,,Travel,Entertainment,Music,Economics,Social Issues,Gaming,,,,Data Scientist,,,,,,Some experience,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed one project/course,,R,2,4,3,4,4,5,3,4,3,4,4,4,,false,,,,,,,,,,,,,,,,,,,,,,,,,
20,,59cfd7f5ca869411de5a7667,,Sports,,,,,,,Music,,,,,,,Data Scientist,,,,,,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,Some experience,Completed one project/course,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,,,Completed multiple projects/courses,,,4,3,3,3,4,4,3,4,3,4,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
21,,59cfd8f6ca869411de5a7669,,,,Finance,,,,,,,,,,,Back-end Engineer,Data Scientist,,,,,,Some experience,Some experience,Some experience,Some experience,,Completed one project/course,,,,,,Some experience,Completed one project/course,Some experience,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,,,5,4,4,4,5,4,5,5,4,5,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
22,,59cfdb27ca869411de5a766c,,Sports,Arts,,,Health,Travel,Entertainment,Music,,Social Issues,Gaming,,,Back-end Engineer,,Designer,,,,,Completed multiple projects/courses,,Some experience,Some experience,,Completed one project/course,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,,,Completed multiple projects/courses,,,5,4,5,4,3,5,5,4,5,5,5,5,,true,true,2,None yet,,,,,,,,,,,,,,,,,,,,,,
23,,59cfeda9c8bca053d261c437,,Sports,,,,,,,Music,,,Gaming,,,,,Designer,,,,Some experience,,,,Some experience,Some experience,Some experience,,Some experience,Some experience,,,,No experience,Completed one project/course,Completed one project/course,Some experience,,,,,,4,3,3,3,5,5,2,,4,5,4,4,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
24,,59cffffbc8bca053d261c442,,Sports,,Finance,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,,,,,Completed one project/course,Some experience,,Some experience,,,Some experience,,Completed one project/course,,,,,No experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,,,Matlab - 1 project/course,5,3,4,3,5,5,2,4,2,4,3,3,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
25,,59d00bdec8bca053d261c449,,,Arts,,Politics,,Travel,,,,Social Issues,,,,,,Designer,,,,,Some experience,,,,,Some experience,,,,,,Some experience,,Completed one project/course,,Completed multiple projects/courses,,,,,,4,3,4,4,5,5,3,4,4,5,5,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
26,,59d00e38c8bca053d261c452,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,,,,,,No experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,59d00eadc8bca053d261c453,,,,,,,,,,,,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,59d02bfcc8bca053d261c46e,,,,,Politics,,,,,,Social Issues,Gaming,,,,Data Scientist,,,,,,Some experience,,Some experience,Some experience,,,,,,,,Completed one project/course,,Some experience,,Completed multiple projects/courses,,,Some experience,,,5,3,4,3,4,5,3,4,4,4,3,2,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
29,,59d02c52c8bca053d261c46f,,,,,,Health,,,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,,Some experience,,,,,,Some experience,Completed one project/course,Completed one project/course,Completed one project/course,Completed one project/course,,Completed one project/course,Completed one project/course,,,3,2,2,2,5,4,,3,4,4,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
30,,59d03921c8bca053d261c479,,,,,,,,,,,,,,,,,,,,,Some experience,No experience,Some experience,,,,,,,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,,Some experience,,,,4,3,2,3,3,5,2,3,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,59d03f9ac8bca053d261c47d,,,,Finance,,,,,,Economics,,Gaming,,,Back-end Engineer,,,,Android,,Some experience,Some experience,Some experience,,Some experience,,Some experience,Some experience,,,,,,,Completed one project/course,,Some experience,,,,,,3,3,3,3,4,5,4,4,3,5,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
32,,59d04c96c8bca053d261c483,,Sports,,,,Health,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,,,,Completed one project/course,Completed one project/course,,,,Completed one project/course,Some experience,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,,Completed one project/course,,5,2,5,5,5,5,5,5,5,5,5,5,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
33,,59d0550ec8bca053d261c487,,,,,,,,Entertainment,Music,,Social Issues,Gaming,,,,,,,,Whatever role needs to be filled.,,,,,,,Completed one project/course,,Some experience,,,,,,Completed one project/course,No experience,Completed one project/course,,,,,,3,3,3,3,5,5,3,4,5,4,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
34,,59d0569ac8bca053d261c489,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,,,,,Some experience,,Completed one project/course,Completed one project/course,,,Some experience,,,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,,Some experience,,,5,4,4,4,5,5,3,3,3,4,5,3,,false,,,,,,,,,,,,,,,,,,,,,,,,,
35,,59d0581cc8bca053d261c48b,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,,,Completed multiple projects/courses,,,,,,Some experience,,Some experience,Completed one project/course,Completed multiple projects/courses,,Completed one project/course,Some experience,,,4,3,5,2,5,5,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,59d0f826c8bca053d261c49c,,,,,,,,,Music,,,,,,Back-end Engineer,,,,,Hardware,,Some experience,,,,Completed one project/course,,Some experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,Some experience,Some experience,Completed multiple projects/courses,Completed one project/course,,,,,,3,4,5,4,5,3,,4,3,3,5,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
37,,59d0fb88c8bca053d261c49d,,Sports,,,,Health,,,,Economics,,Gaming,,Front-end Engineer,,,,,Android,,Some experience,Some experience,Completed multiple projects/courses,,,,Completed multiple projects/courses,,,Completed one project/course,,,Completed one project/course,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,,,4,5,4,4,4,4,5,4,4,5,5,4,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
38,,59d11ba3c8bca053d261c4a9,Fashion,,Arts,,,,,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,,,Some experience,,,4,3,4,4,5,5,3,3,4,4,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
39,,59d12814c8bca053d261c4ab,,,,,,,,,,,,,Anything psychology related,Front-end Engineer,,,Designer,,Android,,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,Some experience,Completed one project/course,Completed one project/course,,Completed one project/course,,,,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed one project/course,Completed multiple projects/courses,,,,,4,,,5,3,5,,4,5,4,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
40,,59d130f5c8bca053d261c4ae,,Sports,,,,,,,Music,Economics,Social Issues,,,Front-end Engineer,,,,,Android,,,,,,,,,,,,,,Some experience,,Some experience,,Some experience,,,,,,5,3,3,4,3,5,2,3,4,4,3,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
41,,59d14c10c8bca053d261c4b7,,,,,,,,,,,,Gaming,,,,,,,Android,,No experience,No experience,,,,,Some experience,,,,,,,Some experience,Completed one project/course,,,,,,,,,2,,2,5,5,3,5,4,5,4,1,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
42,,59d159a6c8bca053d261c4bd,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,Some experience,,,,,,Some experience,,Completed one project/course,,Some experience,Some experience,,,,,,,,,3,5,,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,59d15bb1c8bca053d261c4be,,Sports,,Finance,Politics,,,,,Economics,,Gaming,,,Back-end Engineer,Data Scientist,Designer,,,,,,,,,,Some experience,,Some experience,,,,,,Completed one project/course,,Completed one project/course,,,,,,3,2,3,4,4,5,3,4,3,4,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
44,,59d17576c8bca053d261c4c7,,,,,,,,,,,,,,,,,,,,,Some experience,,No experience,,,,,,,,,,,,Completed one project/course,,Some experience,,,,,,,,,,3,4,,2,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,59d199f3c8bca053d261c4d3,,Sports,,,,,,Entertainment,,,,Gaming,,,,,,,,,,,Some experience,,,,,,Some experience,,,,,,,Completed one project/course,,,,,,,4,4,2,4,5,5,3,5,4,5,5,4,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,
46,,59d1a8f4c8bca053d261c4de,,,,,,,,,,,,,,,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,,Completed one project/course,,,Completed one project/course,,,,,,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,,,Completed one project/course,,,4,4,4,4,5,5,3,5,3,5,3,4,false,false,,,,,,,,,,,,,,,,,,,,,,,,,
47,,59d24946c8bca053d261c4f0,Fashion,,Arts,,,,Travel,,Music,,,Gaming,,Front-end Engineer,,,,,Android,,,Completed one project/course,Some experience,,,,Completed one project/course,,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,,,Some experience,,,4,4,4,3,4,5,3,5,5,5,4,4,false,false,,,,,,,,,,,,,,,,,,,,,,,,,
48,,59d271b2c8bca053d261c4f5,,,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,,,,,,,Completed one project/course,,Some experience,,,Completed one project/course,,,5,3,3,4,5,3,,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,59d29df8c8bca053d261c500,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,Some experience,,,,,,Some experience,Completed one project/course,Completed one project/course,,,,,,,,3,3,2,3,5,5,,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,59d3bab5387840435cf9c6ed,,,,,,,,,,,,,Machine Intelligence/AI,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,Whatever I can,,Completed multiple projects/courses,Some experience,No experience,Completed one project/course,,Some experience,,Some experience,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,Some experience,,,4,4,4,4,4,4,3,2,4,5,4,3,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,
51,,59d44ac7e91f783e0cad19c9,Fashion,Sports,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,Completed one project/course,Some experience,No experience,,,,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed one project/course,,Some experience,Some experience,,,3,,2,,4,5,3,2,5,3,2,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
52,,59d4e6a2e91f783e0cad19d7,,,,,,,,Entertainment,,Economics,,,,Front-end Engineer,Back-end Engineer,Data Scientist,,iOS,,,,Completed one project/course,Some experience,Completed multiple projects/courses,Completed one project/course,Some experience,Completed multiple projects/courses,,,,,,Completed one project/course,Completed one project/course,,,Completed multiple projects/courses,,,Completed one project/course,Completed one project/course,,3,4,5,4,5,5,5,5,4,4,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
53,,59d55f33e91f783e0cad19ee,,,,,,,,,,,Social Issues,,Education,Front-end Engineer,Back-end Engineer,,Designer,,,,,Completed one project/course,,,,,Some experience,,,,,,Completed one project/course,Some experience,Completed multiple projects/courses,,Completed multiple projects/courses,,,,,,5,3,4,4,5,5,2,4,3,5,5,5,,true,true,,SkedHub,Educational App,"Python, HTML, CSS, Javascript, and/or PHP",Front-end Engineer,Back-end Engineer,,iOS,,,We have attended from 0-5 hackathons (range).,59cf0e9eca869411de5a7629,,,,,,,,,,,,
54,,59d67bd4e91f783e0cad1a22,Fashion,,,,,Health,Travel,,,Economics,,Gaming,,Front-end Engineer,,,,,,,,Some experience,Some experience,,,,,,,,,,Some experience,Some experience,Some experience,,Some experience,,,,,,3,2,2,,4,3,,3,2,3,2,3,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
55,,59d681bbe91f783e0cad1a25,Fashion,,,Finance,Politics,,,,,Economics,,Gaming,,,,Data Scientist,,,,,,,,Some experience,,,,Some experience,Completed one project/course,Some experience,,,,,,Some experience,,,,,,,5,4,5,5,5,4,2,4,5,5,5,5,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
56,,59d70e66e91f783e0cad1a48,,Sports,,Finance,,,Travel,Entertainment,,Economics,,Gaming,,Front-end Engineer,Back-end Engineer,,,,,Electrical and Firmware,Some experience,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,No experience,,Completed one project/course,,C++ and C,5,4,3,4,5,4,4,5,3,5,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
57,,59d71b8ce91f783e0cad1a4e,,,Arts,Finance,,Health,Travel,Entertainment,,Economics,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,Android,,Some experience,Some experience,Some experience,Some experience,,Some experience,Some experience,,,,,,Some experience,Some experience,Completed multiple projects/courses,,Completed one project/course,,,,,,5,4,4,4,5,4,2,3,4,3,5,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
58,,59d816d9e91f783e0cad1a67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,2,,,,4,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
59,,59d8186ee91f783e0cad1a68,,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,Completed one project/course,,,Some experience,No experience,,,Some experience,Some experience,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,Completed one project/course,,,3,3,,,4,3,,3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,59d848b4e91f783e0cad1a70,,,,,,,,,,,,,,,,,,,,,,No experience,No experience,,,,,,,,,,,,,,,Some experience,,,,,3,1,4,,4,5,3,4,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,59da68b68ac2a56ad2aaeed9,,,,Finance,,,,,,,,,,Front-end Engineer,Back-end Engineer,,,,,,,,,Some experience,Some experience,,Some experience,,,,,,,,,Completed one project/course,,,,Completed one project/course,,,4,3,2,3,2,5,3,2,2,3,3,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
62,,59dadb9d8ac2a56ad2aaeeef,,Sports,Arts,,,,,,Music,,,,,Front-end Engineer,Back-end Engineer,,Designer,iOS,,,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,Some experience,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Some experience,,Some experience,Completed multiple projects/courses,Ats....,5,5,4,3,5,4,4,5,5,5,5,5,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
63,,59dae3608ac2a56ad2aaeef1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
64,,59dba0ec8ac2a56ad2aaef00,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Some experience,Some experience,Some experience,Some experience,Completed multiple projects/courses,,Some experience,Some experience,,,Completed multiple projects/courses,,Completed one project/course,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,,,5,4,4,4,5,5,5,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,59dbb82a8ac2a56ad2aaef07,Fashion,,,,,Health,Travel,,,,,,,,Back-end Engineer,,,,,,,Some experience,,,,,Completed one project/course,,,,,,Some experience,,Completed multiple projects/courses,Completed one project/course,,,,,,,5,4,5,3,5,5,3,5,3,5,3,5,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
66,,59dbdbc48ac2a56ad2aaef0a,,,,,,Health,,,,,,,"Security, App Development, Web Based Platforms",Front-end Engineer,Back-end Engineer,,Designer,,Android,Security,,Completed multiple projects/courses,Completed one project/course,,,Completed one project/course,Some experience,,Completed one project/course,Some experience,,,Completed multiple projects/courses,Some experience,Some experience,Some experience,Some experience,,Some experience,Completed one project/course,,Java,4,4,4,3,5,4,5,5,4,3,4,4,,true,true,2,Codenza,Not Yet Decided,Anything that be used at that moment,Front-end Engineer,Back-end Engineer,,,,Web Dev,Good,"59da9d688ac2a56ad2aaeee3, 59cf1ea4ca869411de5a763e",,,,,,,,,,,,
67,,59dbed708ac2a56ad2aaef0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
